Name,Description,Attribute0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8
Project,The product or initiative to be developed,ID,Name,Project Start,Project End,Description,Budget,Status,Target Audience,Priority
Team,Self-organized, cross-functional development team,ID,Name,Team Size,Team Start,Team Status,Location,Team Type,
Worker / Employee,Individual team member working on the project,ID,Name,First Name,Email,Start Date,Status,Availability,
Feature,Mid-sized functionality,ID,Title,Description,Status,Priority,Estimated Effort,,,
Skill / Competence,Professional or social competence of a worker,ID,Label,Description,Level,Certified,Category,
Role(s),Defined responsibilities within the Scrum team,ID,Role Name,Description,Area of Responsibility,,,
Product Owner,Responsible for product vision and Product Backlog,ID,Name,Email,Availability,,,,,
Scrum Master,Supports the team in applying Scrum,ID,Name,Email,Experience,,,,,
Product Backlog,Ordered list of all requirements,ID,Created On,Last Updated,Number of Entries,Status,,,,
Sprint,Fixed time period for creating an increment,ID,Sprint Number,Start Date,End Date,Status,Achievement of Goal,,,
Sprint Planning,Kick-off meeting for Sprint preparation,ID,Date,Duration (min),Moderation,Outcome Documentation,,,,
Daily Scrum,Daily 15-minute team meeting,ID,Date,Time,Duration,Moderation,,,,
Sprint Review,Presentation and acceptance of results,ID,Date,Duration,Feedback Documentation,Attendees Count,,,,
Sprint Retrospective,Retrospective for process improvement,ID,Date,Duration,Improvement Actions,Team Satisfaction,Moderation,,,
Sprint Backlog,Selected backlog items + implementation plan,ID,Number of Tasks,Last Updated,Status,Total Effort,,,,
Sprint Goal,Objective to be achieved within the sprint,ID,Objective Description,Achievement Status,Benefit,,,,
Epic,Large requirement that can be split into stories,ID,Title,Description,Priority,Status,Estimated Effort,,,
User Story,Requirement from the perspective of a user,ID,Title,Description,Acceptance Criteria,Priority,Story Points,Status,,,
Task / Sub-Task,Smallest unit of work within a sprint,ID,Title,Description,Status,Effort,Type,,,
Development Snapshot,Product at the end of a sprint,ID,Version Number,Creation Date,Test Status,Deployment Target,Documentation,,,
Blocker / Problem / Bug,Obstacle hindering progress,ID,Title,Description,Severity,Status,Detected On,Resolved On,,,
Stakeholder,Interested party in the product (internal/external),ID,Name,Organization,Role,Email,Area of Interest,Influence Level,Relevance to Feature,
Velocity,Average amount of work per sprint,ID,Number of Sprints Used,Avg. Story Points,Max Velocity,Min Velocity,Trend,,,
Release Plan,Plan for releasing specific features,ID,Version,Planned Date,Included Features,Status,,,,
Roadmap,Long-term planning across releases,ID,Start Date,End Date,Milestones,Objectives,Versions,,,,
Scrum Board,Visual representation of tasks during the sprint,ID,Board Type,Columns (ToDo/Done...),Number of Cards,Last Updated,,,,
Feature Documentation,Documentation for a specific feature,ID,Title,Description,Creation Date,Change Log,Linked Requirements,Author,,,
