Name,SetName,Index,Description,Attribute0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8
Project,P,p,The product or initiative to be developed,ID,Name,Project Start,Project End,Description,Budget,Status,Target Audience,Priority
Team,T,t,Self-organized, cross-functional development team,ID,Name,Team Size,Team Start,Team Status,Location,Team Type,
Worker,W,w,Individual team member working on the project,ID,Name,First Name,Email,Start Date,Status,Availability,
Feature,F,f,Mid-sized functionality,ID,Title,Description,Status,Priority,Estimated Effort,,,
Skill,S,s,Professional or social competence of a worker,ID,Label,Description,Level,Certified,Category,
Role,R,r,Defined responsibilities within the Scrum team,ID,Role Name,Description,Area of Responsibility,,,
Product Owner,PO,po,Responsible for product vision and Product Backlog,ID,Name,Email,Availability,,,,,
Scrum Master,SM,sm,Supports the team in applying Scrum,ID,Name,Email,Experience,,,,,
Product Backlog,PB,pb,Ordered list of all requirements,ID,Created On,Last Updated,Number of Entries,Status,,,,
Sprint,SP,sp,Fixed time period for creating an increment,ID,Sprint Number,Start Date,End Date,Status,Achievement of Goal,,,
